Description,Quatity,Purchase Link,Estimate price,Note,Suggested Supplier
"M2 x 4mm, flat head",4,,,"Self taping, pan head or counter sunk head both work",
"M2 x 10mm, flat head",4,,,"Self taping, pan head or counter sunk head both work",
"Neodium Magnet 10x2mm, flat disc",4,,,Super glue is need before inserting the magnet,
,,,,,
"OLED screen 0.96 inch I2C, blue or black soldermask",1,,1,,
"EC11J-5DM20P1ZY15F7, Encoder",1,,0.4,Aliexpress,https://www.aliexpress.us/item/3256806076593949.html?spm=a2g0o.order_list.order_list_main.60.1cab18024jRTnl&gatewayAdapt=glo2usa
1x2P Black Plug P=3.81mm Pluggable System Terminal Block ROHS,1,C430322,0.1828,LCSC,
Anderson Powerpole PR45,1,ASMPR45-1X2-RK,3.95,Order on Mouser,
Encoder,1,,,"3D printed, PETG, Dark Gray",
Top case,1,,,"3D printed, PETG, Dark Gray",
Bottom case,1,,,"3D printed, PETG, Dark Gray",
