Designator,Mid X,Mid Y,Rotation,Layer
C1,29.4,17.5,90.0,top
C10,26.6,23.9,0.0,top
C11,27.1,28.1,0.0,top
C12,15.9,24.351,180.0,top
C13,15.9,23.4,180.0,top
C14,8.8,20.468,270.0,top
C15,20.8,15.2,90.0,top
C16,27.1,30.3,180.0,top
C17,10.5,5.2,90.0,top
C18,28.4,17.5,90.0,top
C19,26.405,19.057,90.0,top
C2,11.846,18.574,270.0,top
C20,27.0,35.7,0.0,top
C21,32.3,15.6,0.0,top
C22,13.3,11.3,270.0,top
C23,35.2,31.5,270.0,top
C24,32.4,36.5,180.0,top
C26,29.99,36.5,0.0,top
C27,16.5,2.825,90.0,top
C28,15.0,2.825,90.0,top
C3,14.9,18.3,270.0,top
C30,26.9,2.4,90.0,top
C4,19.2,33.0,90.0,top
C5,21.9,20.3,270.0,top
C6,17.8,20.3,270.0,top
C7,20.216,33.0,90.0,top
C8,15.5,28.1,180.0,top
C9,20.884,20.3,270.0,top
D1,9.3996,14.4,0.0,top
D2,38.1,31.3,90.0,top
D3,16.2,9.5,270.0,top
D5,25.4,2.4,90.0,top
D6,29.4,4.4,90.0,top
J1,6.7,14.2,270.0,top
J2,37.75,7.25,270.0,top
J3,12.2,48.5,90.0,top
J4,20.44,36.4,0.0,top
J6,41.22,21.5,180.0,top
J8,41.22,41.0,180.0,top
J9,43.4675,7.105,90.0,top
R1,31.8,10.5,180.0,top
R10,19.9,20.3,90.0,top
R11,18.842,20.3,90.0,top
R12,24.3,33.7,180.0,top
R13,31.8,14.1,270.0,top
R14,32.9,14.1,90.0,top
R15,10.2,30.8,180.0,top
R16,10.2,31.8,180.0,top
R17,30.0,37.5,180.0,top
R18,29.99,35.5,180.0,top
R19,10.2,32.8,180.0,top
R2,29.0,27.1,0.0,top
R20,32.6,25.49,270.0,top
R21,25.4,11.7,0.0,top
R22,24.1,1.8,270.0,top
R23,29.0,15.5,90.0,top
R24,8.19,22.3,0.0,top
R25,28.1,11.7,0.0,top
R26,13.71,25.7,0.0,top
R27,32.39,35.5,0.0,top
R28,13.7,26.7,0.0,top
R29,11.8,26.7,0.0,top
R3,29.0,28.1,0.0,top
R30,9.9,26.7,0.0,top
R4,13.7,18.6,90.0,top
R5,9.8,18.6,90.0,top
R6,26.405,21.089,90.0,top
R7,32.4,37.5,0.0,top
R8,28.5,23.9,0.0,top
R9,16.1,31.6,0.0,top
SW1,4.218,32.9,270.0,top
SW2,13.03,44.3,0.0,top
SW4,27.8,44.3,0.0,top
SW5,20.4,48.108783,0.0,top
TH1,18.4,11.09,90.0,top
U1,21.1,9.1,270.0,top
U2,12.1,22.5,0.0,top
U3,21.0,27.1,270.0,top
U4,23.7,15.3,270.0,top
U5,24.5,20.2,270.0,top
U6,21.1,3.6,270.0,top
U7,31.7,19.8,270.0,top
U8,27.0,14.9,270.0,top
Y1,27.1,32.9,270.0,top
